,itemID,month,order,salesPrice
305,44.0,04-2018,3,16.0
306,44.0,05-2018,3,16.0
307,44.0,06-2018,1,16.0
309,45.0,01-2018,0,6.0
310,45.0,02-2018,0,6.0
311,45.0,03-2018,20,6.0
312,45.0,04-2018,1,6.0
313,45.0,05-2018,0,6.0
314,45.0,06-2018,0,6.0
316,46.0,01-2018,0,7.0
317,46.0,02-2018,0,7.0
318,46.0,03-2018,0,7.0
319,46.0,04-2018,0,7.0
320,46.0,05-2018,0,7.0
321,46.0,06-2018,1,7.0
323,47.0,01-2018,21,270.0
324,47.0,02-2018,10,268.0
325,47.0,03-2018,0,268.0
326,47.0,04-2018,0,268.0
327,47.0,05-2018,7,262.0
328,47.0,06-2018,1,262.0
330,48.0,01-2018,0,56.0
331,48.0,02-2018,0,56.0
332,48.0,03-2018,0,56.0
333,48.0,04-2018,0,56.0
334,48.0,05-2018,0,56.0
335,48.0,06-2018,1,56.0
337,49.0,01-2018,548,84.0
338,49.0,02-2018,97,84.0
339,49.0,03-2018,52,84.0
340,49.0,04-2018,2,84.0
341,49.0,05-2018,7,84.0
342,49.0,06-2018,2,84.0
344,50.0,01-2018,18,123.0
345,50.0,02-2018,9,123.0
346,50.0,03-2018,3,123.0
347,50.0,04-2018,0,123.0
348,50.0,05-2018,1,123.0
349,50.0,06-2018,1,123.0
351,51.0,01-2018,0,37.0
352,51.0,02-2018,184,37.0
353,51.0,03-2018,0,37.0
354,51.0,04-2018,1,37.0
355,51.0,05-2018,0,37.0
356,51.0,06-2018,34,37.0
358,52.0,01-2018,377,10.0
359,52.0,02-2018,7,10.0
360,52.0,03-2018,421,10.0
361,52.0,04-2018,63,10.0
362,52.0,05-2018,7,10.0
363,52.0,06-2018,8,10.0
365,53.0,01-2018,0,53.0
366,53.0,02-2018,1,53.0
367,53.0,03-2018,163,53.0
368,53.0,04-2018,5,53.0
369,53.0,05-2018,0,53.0
370,53.0,06-2018,0,53.0
372,54.0,01-2018,0,5.0
373,54.0,02-2018,318,5.0
374,54.0,03-2018,8,4.0
375,54.0,04-2018,9,4.0
376,54.0,05-2018,1,4.0
377,54.0,06-2018,0,4.0
379,55.0,01-2018,2,2.0
380,55.0,02-2018,297,2.0
381,55.0,03-2018,14,2.0
382,55.0,04-2018,7,2.0
383,55.0,05-2018,0,2.0
384,55.0,06-2018,0,2.0
386,56.0,01-2018,0,9.0
387,56.0,02-2018,240,9.0
388,56.0,03-2018,86,9.0
389,56.0,04-2018,2,9.0
390,56.0,05-2018,0,9.0
391,56.0,06-2018,1,9.0
393,57.0,01-2018,15,323.0
394,57.0,02-2018,48,321.0
395,57.0,03-2018,20,308.0
396,57.0,04-2018,8,301.0
397,57.0,05-2018,2,301.0
398,57.0,06-2018,0,301.0
400,58.0,01-2018,0,
401,58.0,02-2018,0,
402,58.0,03-2018,0,
403,58.0,04-2018,0,
404,58.0,05-2018,0,
405,58.0,06-2018,0,
407,59.0,01-2018,1,2343.0
408,59.0,02-2018,0,2343.0
409,59.0,03-2018,6,2343.0
410,59.0,04-2018,3,2341.0
411,59.0,05-2018,3,2331.0
412,59.0,06-2018,0,2331.0
414,60.0,01-2018,7,110.0
415,60.0,02-2018,8,106.0
416,60.0,03-2018,1,104.0
417,60.0,04-2018,48,103.0
418,60.0,05-2018,9,99.0
419,60.0,06-2018,2,99.0
421,61.0,01-2018,1,2.0
422,61.0,02-2018,0,2.0
423,61.0,03-2018,0,2.0
424,61.0,04-2018,0,2.0
425,61.0,05-2018,1,2.0
426,61.0,06-2018,1,2.0
428,62.0,01-2018,1,11.0
429,62.0,02-2018,129,11.0
430,62.0,03-2018,4,9.0
431,62.0,04-2018,3,10.0
432,62.0,05-2018,6,10.0
433,62.0,06-2018,2,9.0
435,63.0,01-2018,2,64.0
436,63.0,02-2018,83,64.0
437,63.0,03-2018,16,63.0
438,63.0,04-2018,122,63.0
439,63.0,05-2018,15,63.0
440,63.0,06-2018,14,63.0
442,64.0,01-2018,0,17.0
443,64.0,02-2018,2,17.0
444,64.0,03-2018,1,17.0
445,64.0,04-2018,0,17.0
446,64.0,05-2018,3,17.0
447,64.0,06-2018,1,17.0
449,65.0,01-2018,3,4.0
450,65.0,02-2018,1,4.0
451,65.0,03-2018,4,4.0
452,65.0,04-2018,7,4.0
453,65.0,05-2018,5,4.0
454,65.0,06-2018,3,4.0
456,66.0,01-2018,2,100.0
457,66.0,02-2018,2,100.0
458,66.0,03-2018,20,100.0
459,66.0,04-2018,3,100.0
460,66.0,05-2018,0,100.0
461,66.0,06-2018,0,100.0
463,67.0,01-2018,1,44.0
464,67.0,02-2018,1,44.0
465,67.0,03-2018,61,44.0
466,67.0,04-2018,32,44.0
467,67.0,05-2018,26,44.0
468,67.0,06-2018,0,44.0
470,68.0,01-2018,2,30.0
471,68.0,02-2018,1,30.0
472,68.0,03-2018,0,30.0
473,68.0,04-2018,0,30.0
474,68.0,05-2018,3,28.0
475,68.0,06-2018,1,24.0
477,69.0,01-2018,367,33.0
478,69.0,02-2018,12,33.0
479,69.0,03-2018,85,33.0
480,69.0,04-2018,0,33.0
481,69.0,05-2018,0,33.0
482,69.0,06-2018,2,33.0
484,70.0,01-2018,0,2584.0
485,70.0,02-2018,0,2584.0
486,70.0,03-2018,0,2584.0
487,70.0,04-2018,0,2584.0
488,70.0,05-2018,1,2584.0
489,70.0,06-2018,0,2584.0
491,71.0,01-2018,0,420.0
492,71.0,02-2018,0,420.0
493,71.0,03-2018,1,420.0
494,71.0,04-2018,0,420.0
495,71.0,05-2018,1,420.0
496,71.0,06-2018,0,420.0
498,72.0,01-2018,1,14.0
499,72.0,02-2018,1,14.0
500,72.0,03-2018,2,14.0
501,72.0,04-2018,2,14.0
502,72.0,05-2018,2,14.0
503,72.0,06-2018,4,14.0
505,73.0,01-2018,0,19.0
506,73.0,02-2018,0,19.0
507,73.0,03-2018,1,19.0
508,73.0,04-2018,239,19.0
509,73.0,05-2018,1,17.0
510,73.0,06-2018,0,17.0
512,74.0,01-2018,1,27.0
513,74.0,02-2018,2,27.0
514,74.0,03-2018,1,27.0
515,74.0,04-2018,1,27.0
516,74.0,05-2018,167,27.0
517,74.0,06-2018,6,27.0
519,75.0,01-2018,296,32.0
520,75.0,02-2018,73,29.0
521,75.0,03-2018,23,29.0
522,75.0,04-2018,19,29.0
523,75.0,05-2018,0,29.0
524,75.0,06-2018,2,26.0
526,76.0,01-2018,0,844.0
527,76.0,02-2018,1,844.0
528,76.0,03-2018,0,844.0
529,76.0,04-2018,0,844.0
530,76.0,05-2018,0,844.0
531,76.0,06-2018,0,844.0
533,77.0,01-2018,9,236.0
534,77.0,02-2018,0,236.0
535,77.0,03-2018,2,233.0
536,77.0,04-2018,5,233.0
537,77.0,05-2018,0,233.0
538,77.0,06-2018,5,233.0
540,78.0,01-2018,0,50.0
541,78.0,02-2018,1,50.0
542,78.0,03-2018,56,50.0
543,78.0,04-2018,44,50.0
544,78.0,05-2018,0,50.0
545,78.0,06-2018,0,50.0
547,79.0,01-2018,0,33.0
548,79.0,02-2018,0,33.0
549,79.0,03-2018,0,33.0
550,79.0,04-2018,0,33.0
551,79.0,05-2018,0,33.0
552,79.0,06-2018,59,33.0
554,80.0,01-2018,0,9.0
555,80.0,02-2018,0,9.0
556,80.0,03-2018,1,9.0
557,80.0,04-2018,0,9.0
558,80.0,05-2018,0,9.0
559,80.0,06-2018,0,9.0
561,81.0,01-2018,0,102.0
562,81.0,02-2018,187,102.0
563,81.0,03-2018,39,102.0
564,81.0,04-2018,1,102.0
565,81.0,05-2018,1,102.0
566,81.0,06-2018,156,102.0
568,82.0,01-2018,1,19.0
569,82.0,02-2018,0,19.0
570,82.0,03-2018,1,19.0
571,82.0,04-2018,0,19.0
572,82.0,05-2018,0,19.0
573,82.0,06-2018,1,19.0
575,83.0,01-2018,5,5.0
576,83.0,02-2018,83,5.0
577,83.0,03-2018,52,5.0
578,83.0,04-2018,2,5.0
579,83.0,05-2018,0,5.0
580,83.0,06-2018,54,5.0
582,84.0,01-2018,0,31.0
583,84.0,02-2018,0,31.0
584,84.0,03-2018,23,31.0
585,84.0,04-2018,0,31.0
586,84.0,05-2018,22,31.0
587,84.0,06-2018,0,31.0
589,85.0,01-2018,2,5.0
590,85.0,02-2018,0,5.0
591,85.0,03-2018,0,5.0
592,85.0,04-2018,0,5.0
593,85.0,05-2018,11,5.0
594,85.0,06-2018,1,5.0
596,86.0,01-2018,46,26.0
597,86.0,02-2018,183,26.0
598,86.0,03-2018,61,26.0
599,86.0,04-2018,0,26.0
600,86.0,05-2018,152,26.0
601,86.0,06-2018,49,25.0
603,87.0,01-2018,6,83.0
604,87.0,02-2018,1,83.0
605,87.0,03-2018,679,66.0
606,87.0,04-2018,187,75.0
607,87.0,05-2018,4,73.0
608,87.0,06-2018,191,73.0
610,88.0,01-2018,41,1673.0
611,88.0,02-2018,0,1673.0
612,88.0,03-2018,33,1679.0
613,88.0,04-2018,9,1620.0
614,88.0,05-2018,6,1620.0
615,88.0,06-2018,4,1620.0
617,89.0,01-2018,10,685.0
618,89.0,02-2018,10,684.0
619,89.0,03-2018,2,698.0
620,89.0,04-2018,0,698.0
621,89.0,05-2018,0,698.0
622,89.0,06-2018,1,698.0
624,90.0,01-2018,2,62.0
625,90.0,02-2018,2,110.0
626,90.0,03-2018,0,110.0
627,90.0,04-2018,3,110.0
628,90.0,05-2018,0,110.0
629,90.0,06-2018,0,110.0
631,91.0,01-2018,1,53.0
632,91.0,02-2018,0,53.0
633,91.0,03-2018,0,53.0
634,91.0,04-2018,0,53.0
635,91.0,05-2018,2,53.0
636,91.0,06-2018,30,53.0
638,92.0,01-2018,55,6.0
639,92.0,02-2018,122,5.0
640,92.0,03-2018,38,5.0
641,92.0,04-2018,1,5.0
642,92.0,05-2018,3,5.0
643,92.0,06-2018,1,4.0
645,93.0,01-2018,0,43.0
646,93.0,02-2018,0,43.0
647,93.0,03-2018,8,43.0
648,93.0,04-2018,0,43.0
649,93.0,05-2018,0,43.0
650,93.0,06-2018,0,43.0
652,94.0,01-2018,21,196.0
653,94.0,02-2018,7,196.0
654,94.0,03-2018,7,195.0
655,94.0,04-2018,5,195.0
656,94.0,05-2018,2,195.0
657,94.0,06-2018,0,195.0
659,95.0,01-2018,1,31.0
660,95.0,02-2018,215,30.0
661,95.0,03-2018,0,30.0
662,95.0,04-2018,2,29.0
663,95.0,05-2018,0,29.0
664,95.0,06-2018,1,29.0
666,96.0,01-2018,1,19.0
667,96.0,02-2018,4,19.0
668,96.0,03-2018,3,19.0
669,96.0,04-2018,1,19.0
670,96.0,05-2018,4,19.0
671,96.0,06-2018,0,19.0
673,97.0,01-2018,0,51.0
674,97.0,02-2018,0,51.0
675,97.0,03-2018,1,51.0
676,97.0,04-2018,0,51.0
677,97.0,05-2018,0,51.0
678,97.0,06-2018,1,51.0
680,98.0,01-2018,0,32.0
681,98.0,02-2018,1,32.0
682,98.0,03-2018,196,32.0
683,98.0,04-2018,1,30.0
684,98.0,05-2018,2,30.0
685,98.0,06-2018,152,30.0
687,99.0,01-2018,1,653.0
688,99.0,02-2018,9,653.0
689,99.0,03-2018,9,628.0
690,99.0,04-2018,2,619.0
691,99.0,05-2018,2,619.0
692,99.0,06-2018,1,610.0
694,100.0,01-2018,0,30.0
695,100.0,02-2018,0,30.0
696,100.0,03-2018,96,30.0
697,100.0,04-2018,0,30.0
698,100.0,05-2018,71,28.0
699,100.0,06-2018,0,28.0
701,101.0,01-2018,0,12.0
702,101.0,02-2018,121,12.0
703,101.0,03-2018,6,12.0
704,101.0,04-2018,5,12.0
705,101.0,05-2018,4,12.0
706,101.0,06-2018,161,12.0
708,102.0,01-2018,0,39.0
709,102.0,02-2018,3,39.0
710,102.0,03-2018,2,39.0
711,102.0,04-2018,4,39.0
712,102.0,05-2018,2,39.0
713,102.0,06-2018,150,39.0
715,103.0,01-2018,0,32.0
716,103.0,02-2018,152,32.0
717,103.0,03-2018,0,32.0
718,103.0,04-2018,0,32.0
719,103.0,05-2018,2,31.0
720,103.0,06-2018,120,31.0
722,104.0,01-2018,0,26.0
723,104.0,02-2018,1,26.0
724,104.0,03-2018,0,26.0
725,104.0,04-2018,0,26.0
726,104.0,05-2018,170,26.0
727,104.0,06-2018,0,26.0
729,105.0,01-2018,6,85.0
730,105.0,02-2018,18,85.0
731,105.0,03-2018,3,85.0
732,105.0,04-2018,0,85.0
733,105.0,05-2018,0,85.0
734,105.0,06-2018,2,85.0
736,106.0,01-2018,1,12.0
737,106.0,02-2018,34,12.0
738,106.0,03-2018,1,12.0
739,106.0,04-2018,4,12.0
740,106.0,05-2018,4,12.0
741,106.0,06-2018,3,12.0
743,107.0,01-2018,0,
744,107.0,02-2018,0,
745,107.0,03-2018,0,
746,107.0,04-2018,0,
747,107.0,05-2018,0,
748,107.0,06-2018,0,
750,108.0,01-2018,0,5.0
751,108.0,02-2018,176,5.0
752,108.0,03-2018,36,5.0
753,108.0,04-2018,2,5.0
754,108.0,05-2018,0,5.0
755,108.0,06-2018,1,5.0
757,109.0,01-2018,189,5.0
758,109.0,02-2018,3,6.0
759,109.0,03-2018,4,5.0
760,109.0,04-2018,253,6.0
761,109.0,05-2018,6,5.0
762,109.0,06-2018,4,5.0
764,110.0,01-2018,16,61.0
765,110.0,02-2018,2,61.0
766,110.0,03-2018,0,61.0
767,110.0,04-2018,0,61.0
768,110.0,05-2018,0,61.0
769,110.0,06-2018,2,61.0
771,111.0,01-2018,0,4.0
772,111.0,02-2018,0,4.0
773,111.0,03-2018,20,4.0
774,111.0,04-2018,0,4.0
775,111.0,05-2018,0,4.0
776,111.0,06-2018,141,4.0
778,112.0,01-2018,2,12.0
779,112.0,02-2018,296,12.0
780,112.0,03-2018,1,12.0
781,112.0,04-2018,187,12.0
782,112.0,05-2018,95,12.0
783,112.0,06-2018,52,12.0
785,113.0,01-2018,232,3.0
786,113.0,02-2018,4,3.0
787,113.0,03-2018,2,3.0
788,113.0,04-2018,6,3.0
789,113.0,05-2018,2,3.0
790,113.0,06-2018,5,3.0
792,114.0,01-2018,10,46.0
793,114.0,02-2018,1,46.0
794,114.0,03-2018,44,46.0
795,114.0,04-2018,3,46.0
796,114.0,05-2018,3,46.0
797,114.0,06-2018,5,45.0
799,115.0,01-2018,206,83.0
800,115.0,02-2018,1,89.0
801,115.0,03-2018,54,89.0
802,115.0,04-2018,0,89.0
803,115.0,05-2018,0,89.0
804,115.0,06-2018,545,89.0
806,116.0,01-2018,0,480.0
807,116.0,02-2018,0,480.0
808,116.0,03-2018,8,480.0
809,116.0,04-2018,0,480.0
810,116.0,05-2018,3,464.0
811,116.0,06-2018,4,451.0
813,117.0,01-2018,5,10.0
814,117.0,02-2018,3,10.0
815,117.0,03-2018,14,10.0
816,117.0,04-2018,2,10.0
817,117.0,05-2018,19,10.0
818,117.0,06-2018,1,10.0
820,118.0,01-2018,39,12.0
821,118.0,02-2018,1,12.0
822,118.0,03-2018,6,12.0
823,118.0,04-2018,0,12.0
824,118.0,05-2018,3,12.0
825,118.0,06-2018,0,12.0
827,119.0,01-2018,2,1012.0
828,119.0,02-2018,0,1012.0
829,119.0,03-2018,8,1012.0
830,119.0,04-2018,0,1012.0
831,119.0,05-2018,0,1012.0
832,119.0,06-2018,0,1012.0
834,120.0,01-2018,1,19.0
835,120.0,02-2018,3,17.0
836,120.0,03-2018,3,19.0
837,120.0,04-2018,2,19.0
838,120.0,05-2018,1,19.0
839,120.0,06-2018,1,19.0
841,121.0,01-2018,0,51.0
842,121.0,02-2018,256,51.0
843,121.0,03-2018,64,51.0
844,121.0,04-2018,0,51.0
845,121.0,05-2018,0,51.0
846,121.0,06-2018,1,51.0
848,122.0,01-2018,1,6.0
849,122.0,02-2018,0,6.0
850,122.0,03-2018,0,6.0
851,122.0,04-2018,0,6.0
852,122.0,05-2018,0,6.0
853,122.0,06-2018,0,6.0
855,123.0,01-2018,1,36.0
856,123.0,02-2018,0,36.0
857,123.0,03-2018,2,36.0
858,123.0,04-2018,0,36.0
859,123.0,05-2018,1,36.0
860,123.0,06-2018,0,36.0
862,124.0,01-2018,0,63.0
863,124.0,02-2018,0,63.0
864,124.0,03-2018,0,63.0
865,124.0,04-2018,2,63.0
866,124.0,05-2018,1,63.0
867,124.0,06-2018,0,63.0
869,125.0,01-2018,0,
870,125.0,02-2018,0,
871,125.0,03-2018,0,
872,125.0,04-2018,0,
873,125.0,05-2018,0,
874,125.0,06-2018,0,
876,126.0,01-2018,0,
877,126.0,02-2018,0,
878,126.0,03-2018,0,
879,126.0,04-2018,0,
880,126.0,05-2018,0,
881,126.0,06-2018,0,
883,127.0,01-2018,1,628.0
884,127.0,02-2018,5,628.0
885,127.0,03-2018,4,628.0
886,127.0,04-2018,3,628.0
887,127.0,05-2018,0,628.0
888,127.0,06-2018,0,628.0
890,128.0,01-2018,5,42.0
891,128.0,02-2018,3,42.0
892,128.0,03-2018,4,42.0
893,128.0,04-2018,2,42.0
894,128.0,05-2018,6,42.0
895,128.0,06-2018,7,41.0
897,129.0,01-2018,4,23.0
898,129.0,02-2018,196,23.0
899,129.0,03-2018,1,24.0
900,129.0,04-2018,3,24.0
901,129.0,05-2018,2,24.0
902,129.0,06-2018,188,24.0
904,130.0,01-2018,0,14.0
905,130.0,02-2018,0,14.0
906,130.0,03-2018,2,14.0
907,130.0,04-2018,0,14.0
908,130.0,05-2018,129,14.0
909,130.0,06-2018,2,14.0
911,131.0,01-2018,12,243.0
912,131.0,02-2018,0,243.0
913,131.0,03-2018,3,243.0
914,131.0,04-2018,0,243.0
915,131.0,05-2018,1,243.0
916,131.0,06-2018,2,243.0
918,132.0,01-2018,0,375.0
919,132.0,02-2018,0,375.0
920,132.0,03-2018,2,375.0
921,132.0,04-2018,1,375.0
922,132.0,05-2018,1,375.0
923,132.0,06-2018,1,375.0
925,133.0,01-2018,3,60.0
926,133.0,02-2018,3,60.0
927,133.0,03-2018,0,60.0
928,133.0,04-2018,0,60.0
929,133.0,05-2018,0,60.0
930,133.0,06-2018,1,60.0
932,134.0,01-2018,0,208.0
933,134.0,02-2018,2,208.0
934,134.0,03-2018,0,208.0
935,134.0,04-2018,0,208.0
936,134.0,05-2018,1,208.0
937,134.0,06-2018,3,208.0
939,135.0,01-2018,1,33.0
940,135.0,02-2018,0,33.0
941,135.0,03-2018,0,33.0
942,135.0,04-2018,1,33.0
943,135.0,05-2018,0,33.0
944,135.0,06-2018,0,33.0
946,136.0,01-2018,2,6.0
947,136.0,02-2018,1,6.0
948,136.0,03-2018,170,6.0
949,136.0,04-2018,2,6.0
950,136.0,05-2018,1,6.0
951,136.0,06-2018,3,6.0
953,137.0,01-2018,2,42.0
954,137.0,02-2018,1,42.0
955,137.0,03-2018,144,42.0
956,137.0,04-2018,22,42.0
957,137.0,05-2018,2,42.0
958,137.0,06-2018,1,42.0
960,138.0,01-2018,16,11.0
961,138.0,02-2018,278,11.0
